X,Y
184.518,101.995
184.427,115.895
184.336,129.694
184.245,143.494
184.153,157.394
184.063,171.194
195.562,171.269
172.563,171.118
183.972,184.993
183.88,198.893
183.789,212.693
183.698,226.492
183.607,240.392
183.516,254.192
183.425,267.991
183.333,281.891
241.33,98.969
241.25,109.319
229.282,109.24
223.299,119.642
217.165,129.911
223.077,140.308
229.008,150.739
241.008,150.818
216.892,171.41
240.695,192.317
228.735,192.238
222.666,202.591
216.618,212.909
227.071,236.11
216.345,254.408
195.015,254.268
237.825,276.797
229.185,281.71
228.085,298.736
232.006,310.762
127.752,98.221
127.684,108.571
139.664,108.65
145.509,119.13
151.507,129.478
145.459,139.796
139.39,150.149
127.39,150.07
151.233,170.977
139.117,191.648
127.157,191.569
145.048,202.068
150.96,212.476
140.203,235.538
172.016,254.116
150.686,253.975
128.913,276.08
137.487,281.105
138.375,298.145
134.285,310.119
120.082,319.775
289.72,300.943
276.616,300.856
265.17,300.781
253.203,298.902
253.203,287.152
253.28,274.657
258.121,265.213
264.264,254.724
252.421,233.895
258.332,244.292
258.489,223.543
264.537,213.225
258.606,202.793
252.694,192.396
258.742,182.078
264.811,171.726
258.899,161.329
252.968,150.897
265.104,130.227
286.334,130.367
294.545,203.065
288.497,213.383
300.34,234.211
288.223,254.882
76.705,299.539
89.808,299.625
101.254,299.701
113.246,297.98
113.323,286.23
113.405,273.735
108.699,264.091
102.767,253.66
108.836,243.307
114.884,232.989
108.952,222.558
103.041,212.161
109.109,201.808
115.157,191.49
109.246,181.093
103.314,170.662
109.362,160.343
115.431,149.991
103.568,129.162
82.338,129.022
73.17,201.606
79.081,212.003
66.965,232.673
78.808,253.502
197.382,300.334
211.532,300.427
220.187,315.485
222.984,334.954
242.984,335.085
279.983,335.329
298.683,335.452
292.929,312.464
280.523,314.882
299.952,299.21
301.064,282.202
310.6,276.78
331.636,274.418
332.217,262.122
332.308,248.222
332.399,234.422
332.49,220.623
332.49,206.722
332.169,193.42
316.984,192.82
300.613,192.712
298.396,182.408
297.56,171.941
297.651,158.142
297.743,144.242
297.833,130.442
297.924,116.643
298.016,102.743
283.512,85.047
268.933,84.951
269.002,74.351
269.002,63.751
269.142,53.152
269.142,42.551
269.282,31.952
269.352,21.352
255.752,21.263
255.682,31.862
255.612,42.462
255.542,53.062
255.461,63.662
255.403,74.262
255.333,84.861
241.423,84.77
229.423,84.691
218.934,84.621
218.934,74.021
219.073,63.422
219.143,52.822
219.213,42.222
219.213,31.622
219.353,21.023
205.753,20.933
205.683,31.533
205.613,42.133
205.543,52.733
205.474,63.332
205.404,73.932
205.334,84.532
195.014,84.464
184.623,86.195
174.255,84.327
162.175,84.247
163.935,84.259
164.005,73.659
164.086,63.06
164.075,52.459
164.203,41.86
164.284,31.26
164.354,20.66
150.754,20.571
150.754,31.171
150.615,41.77
150.556,52.37
150.475,62.97
150.405,73.57
150.393,84.17
139.845,84.1
127.846,84.021
113.936,83.93
114.006,73.33
114.076,62.73
114.157,52.13
114.215,41.531
114.285,30.931
114.355,20.331
100.755,20.241
100.685,30.841
100.616,41.441
100.546,52.041
100.476,62.641
100.406,73.24
100.336,83.84
85.757,83.744
71.021,101.247
70.929,115.147
70.838,128.947
70.747,142.746
70.656,156.646
70.565,170.446
69.591,180.9
67.238,191.174
50.879,191.067
35.676,191.466
35.088,204.763
34.997,218.662
34.894,232.462
34.826,246.262
34.723,260.162
35.142,272.465
56.145,275.103
65.609,280.65
66.508,297.672
85.717,313.599
73.344,311.017
67.288,333.928
85.987,334.051
122.987,334.295
142.986,334.426
146.04,314.996
154.893,300.054
169.043,300.054
246.079,320.605
