0,1,2
Key,English,Tiếng Việt
version,Version 2.1.0,Version 2.1.0
ok,OK,OK
exit,Exit,Thoát
cancel,Cancel,Hủy bỏ
yes,Yes,Đồng ý
no,No,Từ chối
error,Error,Lỗi
warning,Warning,Cảnh báo
close,Close,Đóng lại
btnFileSelect,Select File,Chọn File
name,Name:,Tên:
id,ID:,ID:
connectionType,Connection type,Kiểu kết nối
brand,Brand,Nhãn hiệu
rotateCamera,Rotate:,Xoay ảnh:
flipCamera,Flip:,Lật ảnh:
settingCamera,Setting Camera,Cài đặt camera
cameraChangeTitle,Change Camera,Đổi Camera
settingLightConnection,Setting Connection,Cài đặt kết nối
lightSettingTitle,Setting Light,Cài đặt đèn
channelAmount,Channel Amount,Số lượng kênh
settingLightValue,Setting Value,Cài đặt giá trị
saveLightValue,Save light value,Lưu giá trị đèn
advanceActiveTitle,Active Points Advanced Setting,Cài đặt điểm hoạt động nâng cao
selectAll,Select all,Chọn tất cả
point,Point,Điểm số
cadInputPath,CAD input path:,Đường dẫn file CAD:
csvOutputPath,CSV output path:,Đường dẫn file CSV:
convert,Convert,Chuyển đổi
msg_noCADFile,Please choose the CAD file first!,Chưa chọn file CAD đầu vào
msg_convertSuccessfully,Convert successfully!,Chuyển đổi thành công
msg_noFileCSVOutput,Please select output file path first!,Chưa chọn file CSV đầu ra
msg_noPointConverted,The data is empty,Không thấy có điểm nào để lưu
msg_saveDataSuccessfully,Save data successfully!,Lưu dữ liệu thành công
plcStatusLbl,PLC Status:,Trạng Thái PLC
cameraStatusLbl,Camera Status:,Trạng Thái Camera:
serverStatusLbl,Server Status:,Trạng Thái Server:
lightStatusLbl,Light Status:,Trạng Thái Đèn:
parameter,Parameter,Cài đặt thông số
modelNameLbl,Model name:,Tên Model:
model name, Model name:,Tên Model:
ref1Lbl,RefPoint 1:,Điểm gốc 1:
ref2Lbl,RefPoint 2:,Điểm gốc 2:
ref3Lbl,RefPoint 3:,Điểm gốc 3:
offsetPointLbl,Offset Point:,Điểm offset:
offsetParmLbl,Offset:,Giá trị offset:
conversionLbl,From pixel to mm:,Hệ số pixel sang mm:
designPathLbl,Design file path:,File design:
activeFromLbl,Active Points: From,Điểm hoạt động từ:
activeToLbl,To,đến
threshLbl,Thresh Value:,Ngưỡng Ánh sáng:
ref1SelectBtn,Select,Chọn
ref2SelectBtn,Select,Chọn
ref3SelectBtn,Select,Chọn
offsetPointSelectBtn,Select,Chọn
calibrationOffsetBtn,Calibrate Offset,Hiệu chuẩn Offset
getOffsetBtn,Get Offset,Lấy Offset
designFileSelect,Select File,Chọn File
advanceActiveBtn,Advance,Nâng cao
visionSettingBtn,Vision Setting,Cài đặt Vision
modelTestBtn,Model Test,Kiểm thử model
saveBtn,Save,Lưu
addNewModelBtn,Add New Model,Thêm mới Model
deleteBtn,Delete,Xóa
btnTakeCoefficient,Take Coefficient,Lấy hệ số
visionSetting,Vision Setting,Cài đặt Vision
title_noPointExisted,Reference position select,Reference position select
msg_title_noPointExisted,"There is no position existed, please check the design file path!","There is no position existed, please check the design file path!"
title_saveModel,Save Model,Lưu Model
msg_saveModel,"Do you want to save changes for model ""{}""?","Bạn có muốn lưu thay đổi của model ""{}""?"
ruRef1Lbl,RU Ref point 1:,Điểm gốc RU 1:
ruRef2Lbl,RU Ref point 2:,Điểm gốc RU 2:
fuRef1Lbl,FU Ref point 1:,Điểm gốc FU 1:
fuRef2Lbl,FU Ref point 2:,Điểm gốc FU 2:
CaliRuOffsetBtn,Calibrate RU Offset,Hiệu chuẩn RU Offset
